Date,Minimum_temperature,Maximum_temperature,Evaporation,Speed_of_maximum_wind_gust,9am_Temperature,9am_wind_speed,9am_MSL_pressure,3pm_Temperature,3pm_wind_speed,3pm_MSL_pressure,Rain_today,Rain_Tomorrow,Rainfall_Tomorrow,Month
10/31/2019,5.9,27.2,4.6,35,15.2,19,1011.1,22.4,19,1006.5,No,No,0,October
11/1/2019,15,32.9,6,63,26.1,30,1006.8,29.6,30,1003.9,No,No,0.8,November
11/2/2019,14.5,21.7,6,41,16.2,13,1005,15.9,13,1005.6,Yes,Yes,15.4,November
11/3/2019,7.5,20.2,3.8,43,14.1,2,1009.6,17,2,1006.9,Yes,Yes,2.4,November
11/4/2019,8.3,17.4,4.8,48,12.5,20,1008.4,15.8,20,1009.1,Yes,No,0,November
11/5/2019,4.9,18.2,2.4,44,10.8,20,1014.2,16.8,20,1008.5,No,No,0,November
11/6/2019,10.5,20,6.4,72,14.2,33,999.1,19.3,33,991.7,No,No,0.4,November
11/7/2019,6.7,12.6,7,72,10.8,33,987.3,10.1,33,989.2,Yes,Yes,3.2,November
11/8/2019,5.5,12.4,4.4,54,8.9,20,996.2,9.5,20,1000,Yes,Yes,2,November
11/9/2019,4.1,14.4,2.4,44,8.5,19,1004.4,10.8,19,1000,Yes,No,0.6,November
11/10/2019,8.4,19.2,2.2,59,13.7,24,1006.4,16.3,24,1007.8,Yes,No,0,November
11/11/2019,10.8,26.1,4.6,78,12.7,37,1004,25.6,37,997.2,No,Yes,1.6,November
11/12/2019,8.7,15.3,10,59,12.6,37,996.4,13,37,997.1,Yes,No,0.2,November
11/13/2019,7.3,17.1,5.6,72,11.5,39,998.9,15.4,39,998.2,Yes,Yes,1,November
11/14/2019,10.7,20.6,6.4,81,16.6,39,1000,19.6,39,998.4,Yes,No,0,November
11/15/2019,12,17.6,8,67,13.6,35,998.8,14.3,35,999.7,No,No,0.2,November
11/16/2019,7.9,15.4,8.4,61,11.5,28,1007.3,13.3,28,1007,Yes,No,0.2,November
11/17/2019,6.2,17.2,7,52,10.5,17,1015.5,15.2,17,1014.2,Yes,No,0.2,November
11/18/2019,10.5,20.2,5,91,15.9,43,1003.2,18.9,43,1001.9,Yes,No,0,November
11/19/2019,9.2,17.6,6.8,43,13.8,28,1010.3,15.5,28,1011.5,No,No,0,November
11/20/2019,9.2,26.3,3.4,54,15.9,17,1014.9,20.2,17,1010,No,No,0,November
11/21/2019,14.3,37.7,7.4,72,26.3,30,995.8,20.2,30,994.3,No,No,0,November
11/22/2019,9.2,22.1,7.8,39,16.3,22,1013.2,20,22,1010.3,No,No,0,November
11/23/2019,11.5,20.6,6.6,67,16.4,37,1008.8,18.8,37,1007.3,No,No,0,November
11/24/2019,9.1,22.5,7.4,48,14,26,1014.3,21.3,26,1010.7,No,No,0,November
11/25/2019,10.8,26,6,54,16.9,26,1003.4,23.5,26,999.9,No,Yes,5.6,November
11/26/2019,10.4,16.4,9.2,52,13,39,1003.6,14.9,39,1004.3,Yes,No,0.2,November
11/27/2019,8.3,20.9,7.6,63,13.5,26,1007.1,17.6,26,1005.6,Yes,No,0,November
11/28/2019,10.5,20.2,5.6,50,14.2,17,1012.2,17.5,17,1013.6,No,No,0.2,November
11/29/2019,10.1,16.4,7.8,44,11.9,33,1013.6,14.4,33,1010.7,Yes,Yes,9.4,November
11/30/2019,6.1,18.6,5.2,41,11.4,30,1010.9,15,30,1005.7,Yes,Yes,3,November
12/1/2019,9.2,18.1,4.8,54,13.2,11,992.8,14.8,11,986.5,Yes,Yes,1.8,December
12/2/2019,8.8,15.2,5.4,61,11.8,37,984.8,10.8,37,988,Yes,Yes,1,December
12/3/2019,7.6,16.3,4.6,81,13.7,39,987.4,13.7,39,987.2,Yes,Yes,1.6,December
12/4/2019,6,16.7,7.4,83,10.9,52,997.9,15.3,52,995.6,Yes,No,0,December
12/5/2019,10.7,19.5,9,70,15.2,19,994.7,17.1,19,992.9,No,No,0,December
12/6/2019,10.3,17.5,6.4,72,12.6,46,995.8,16,46,996,No,No,0.4,December
12/7/2019,10.1,17.7,7.2,61,13,24,1004.1,14.8,24,1006.5,Yes,Yes,1.2,December
12/8/2019,6.9,20,4,31,15.2,24,1019.3,17,24,1018.5,Yes,No,0,December
12/9/2019,11.4,30.7,5.8,48,18.6,15,1012.8,29.1,15,1007.8,No,No,0,December
12/10/2019,12,18.3,6.2,46,14.9,28,1015.8,16.3,28,1016.8,No,No,0,December
12/11/2019,9.3,22.6,7.4,31,16,22,1017.6,19.9,22,1014.4,No,No,0,December
12/12/2019,11.5,19.2,3.8,56,14.9,31,1009.4,17.4,31,1011.1,No,No,0.2,December
12/13/2019,11,21.3,8.2,54,13.5,28,1009.4,19,28,1005.6,Yes,No,0.8,December
12/14/2019,10.7,16.2,4.8,48,11.4,30,1007.3,13.7,30,1007.5,Yes,Yes,3.6,December
12/15/2019,9.4,18.6,4.8,43,12.6,7,1002.7,16.1,7,999.6,Yes,Yes,2,December
12/16/2019,10.1,20,2,33,13.7,28,1013.2,18.1,28,1013.5,Yes,No,0.2,December
12/17/2019,9.1,22.2,6.4,43,17.8,31,1016.9,19.1,31,1016.7,Yes,No,0,December
12/18/2019,14,26.1,6.6,35,18,20,1015.7,23.1,20,1008.5,No,No,0,December
12/19/2019,15.2,22.3,4.4,56,18.4,41,1011.8,17.5,41,1014.7,No,No,0,December
12/20/2019,8.9,32.5,10,59,15.2,24,1016.4,30.4,24,1008.4,No,No,0,December
12/21/2019,14.9,22.1,14.2,65,19,33,1007.4,21.1,33,1010.5,No,No,0,December
12/22/2019,11.2,19.7,11.2,43,14.8,30,1021.9,17.7,30,1020.6,No,No,0,December
12/23/2019,11.1,17.4,7.8,43,13.8,31,1019.9,14.5,31,1018.9,No,No,0,December
12/24/2019,11.8,20.8,4,35,15,26,1023.2,18.3,26,1020.8,No,No,0,December
12/25/2019,11.7,21.9,8.6,37,17.7,26,1017.1,19.4,26,1014.7,No,No,0,December
12/26/2019,11.2,22.6,6.6,41,16.3,28,1017.8,20.9,28,1016.1,No,No,0,December
12/27/2019,9.3,21.9,8.4,41,16,19,1022,20.3,19,1019.1,No,No,0,December
12/28/2019,14.6,27.1,8.4,50,20.6,28,1010.6,23.6,28,1008.8,No,No,0,December
12/29/2019,10.7,24.4,8.2,46,18.2,33,1015.1,21.3,33,1012.5,No,No,0,December
12/30/2019,13.5,40.8,6.6,83,21.5,52,1004.2,38.7,52,993.4,No,Yes,3.8,December
12/31/2019,11.8,23.2,14.2,57,17.3,28,1005,22.5,28,1005.3,Yes,No,0,December
1/1/2020,11.4,24.7,7.8,54,16.4,28,1011,23.1,28,1009.3,No,No,0,January
1/2/2020,15.9,24.3,9.6,54,18.6,31,1015.3,21.3,31,1014.8,No,No,0,January
1/3/2020,14.7,22.1,7,31,16.7,24,1016.8,21.4,24,1011.9,No,No,0,January
1/4/2020,15.3,28.6,6.8,67,20.6,35,1001.9,22.7,35,1005.5,No,No,0,January
1/5/2020,10.7,22.1,6.4,37,14.4,19,1021.1,20.6,19,1020,No,No,0,January
1/6/2020,9.4,22.2,6.8,39,15.4,30,1023.1,20.4,30,1019.5,No,No,0,January
1/7/2020,13.2,19.9,7.8,35,17.5,26,1018.9,17.2,26,1018.3,No,No,0,January
1/8/2020,9.7,23.5,4.6,48,17.4,33,1020.2,21.5,33,1019.1,No,No,0,January
1/9/2020,11.6,31.6,7.2,48,18.6,20,1020.2,28,20,1014.5,No,No,0,January
1/10/2020,18.4,29.6,11.4,67,22.6,9,999.4,18.7,9,996.5,No,Yes,1.2,January
1/11/2020,12.6,20.4,5.6,61,14.7,33,1006.5,18.5,33,1008.6,Yes,No,0.2,January
1/12/2020,12.2,22.4,6.6,46,16.6,24,1018.1,19.2,24,1017.9,Yes,No,0,January
1/13/2020,10.8,31.3,7.6,74,20.4,22,1018.3,30.3,22,1013,No,No,0,January
1/14/2020,14,25.1,9.2,37,17,19,1020.9,23.5,19,1017.8,No,No,0,January
1/15/2020,15.5,30,5,39,22.2,24,1013,29.6,24,1007.1,No,Yes,2.2,January
1/16/2020,12,15.7,8.6,52,12.1,30,1009.4,15.1,30,1011.6,Yes,Yes,2.2,January
1/17/2020,9.9,16.5,3.8,39,12.5,28,1019,15.4,28,1019.1,Yes,No,0,January
1/18/2020,11,19.8,5,43,13.4,22,1020.2,18.8,22,1015.7,No,No,0,January
1/19/2020,11.1,22.2,6.2,37,15.4,28,1013.9,21.4,28,1011.5,No,No,0,January
1/20/2020,12.5,18.1,5.8,43,15.7,26,1011.7,17.2,26,1008.3,No,No,0,January
1/21/2020,13.1,19.7,4,44,14.6,33,1007.2,17.7,33,1005.2,No,No,0,January
1/22/2020,11.6,30.7,6.8,72,19.4,39,1002.8,29.1,39,997,No,Yes,13.8,January
1/23/2020,14.2,21.7,9.2,65,14.7,15,992.6,18.3,15,989.1,Yes,Yes,3.2,January
1/24/2020,11.3,22,6,56,15.3,33,999.5,20.3,33,1002.4,Yes,No,0,January
1/25/2020,14.6,25.6,4.8,50,17.4,28,1008.7,23.7,28,1007.4,No,No,0,January
1/26/2020,17.2,23.7,6.4,57,17.8,37,1006.8,20.7,37,1007.5,No,No,0,January
1/27/2020,14.9,23.3,7.4,52,16,33,1012.3,22.1,33,1010.5,No,No,0,January
1/28/2020,15.8,26.7,5.8,59,17.1,30,1009.8,24,30,1007.9,No,No,0,January
1/29/2020,16.5,29.4,7.4,44,20.2,26,1012.5,27.7,26,1010.7,No,No,0,January
1/30/2020,17.6,36.6,10,61,29,17,1004.4,35.4,17,1005.2,No,No,0,January
1/31/2020,14.8,41.4,10.6,56,20.4,35,1008.5,40.7,35,1001.6,No,Yes,2.6,January
2/1/2020,19.9,20.3,11.2,39,20.1,30,1000,18.6,30,1003.1,Yes,No,0.2,February
2/2/2020,11.3,22.5,5.6,67,17.4,44,1000.9,19.4,44,998,Yes,No,0.6,February
2/3/2020,9.1,16,7.8,69,10.8,30,1003.8,13.7,30,1009.3,Yes,Yes,1.4,February
2/4/2020,7,21.2,5.6,37,12.7,20,1020.8,20.5,20,1019,Yes,No,0,February
2/5/2020,10.6,19.1,7,46,15.4,35,1021.2,15.6,35,1021.7,No,No,0,February
2/6/2020,13.2,23.3,5.4,33,15.7,24,1026.8,21.9,24,1024.5,No,No,0,February
2/7/2020,14.9,18.3,6.6,31,15.8,22,1028.6,17.4,22,1028.8,No,No,0,February
2/8/2020,13.5,19.2,3.2,41,15,20,1034,18.2,20,1032,No,No,0,February
2/9/2020,13.4,21.9,3.2,39,16.2,19,1031.2,19.8,19,1028.3,No,No,0,February
2/10/2020,15,20.7,5.8,35,17.2,22,1024.1,20.2,22,1021,No,Yes,1.2,February
2/11/2020,16.9,22,2,24,17.3,11,1013.1,21,11,1010.8,Yes,No,0.6,February
2/12/2020,15.9,18.2,2,35,16.4,24,1018.9,17.6,24,1020.1,Yes,No,0,February
2/13/2020,13.7,21.4,3.6,33,14.6,19,1022.4,20.2,19,1019.3,No,No,0,February
2/14/2020,14.5,28.6,3.6,37,17.2,11,1013.2,26.7,11,1007.2,No,Yes,1,February
2/15/2020,14.8,18.7,4.8,56,14.9,37,1011.7,17,37,1014.2,Yes,No,0.2,February
2/16/2020,11.8,18.3,5.6,37,14.7,28,1022.7,17.4,28,1022.5,Yes,No,0,February
2/17/2020,8.6,19.9,6,35,10.6,28,1020.5,18.7,28,1015.7,No,No,0,February
2/18/2020,7.8,21.2,7,33,13.4,28,1011.1,19.3,28,1008,No,No,0,February
2/19/2020,13.1,16.8,5.2,54,13.6,35,1009.8,15.4,35,1010,No,No,0,February
2/20/2020,12,20.2,5.2,46,13.7,30,1012,17.6,30,1010.2,No,No,0,February
2/21/2020,10.3,18.4,5.2,52,13.6,19,1016.7,16.2,19,1019,No,No,0.2,February
2/22/2020,6.8,21.8,5,39,13.2,26,1024.6,20.6,26,1021.9,Yes,No,0,February
2/23/2020,10.5,23.2,5.6,41,14.3,28,1022.3,20.3,28,1016.3,No,No,0,February
2/24/2020,11.9,21.9,4,30,15,20,1019.6,19.9,20,1017.8,No,No,0,February
2/25/2020,11.2,30.1,5.6,54,17.5,17,1010.4,25.6,17,1002.5,No,Yes,6,February
2/26/2020,9.6,16.6,7.6,57,10,24,1000.2,14.9,24,1001.9,Yes,Yes,1.8,February
2/27/2020,9.8,20.5,5,78,14.2,48,998.6,19.8,48,995.3,Yes,No,0,February
2/28/2020,7.5,20.3,5,52,13.9,30,1007.2,19.8,30,1007.8,No,No,0,February
2/29/2020,13.3,27.9,7.4,59,18.7,20,1008.8,26.6,20,1007.7,No,No,0,February
